state,year,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Missouri,2021,190157,90.99428367086145,10.321074165032053
Missouri,2022,102718,91.8222706828404,9.66635351155591
Missouri,2023,119091,87.64894072599945,11.087114055638125
Missouri,2024,124669,89.78093992893182,10.365708395832163
Missouri,2025,139396,93.91517690608052,9.300614795259548
Missouri,2026,86586,93.64562400388053,9.243457371861503
Montana,2020,31122,92.9503245292719,9.499598354861513
Montana,2021,32059,89.82501013755888,10.281465423126111
Montana,2022,32058,93.56166947407823,9.187597479568282
Montana,2023,30449,90.97178889290288,9.802949193733784
Montana,2024,37784,85.32447596866398,11.994931717128944
Montana,2025,42533,90.70604001598758,10.08514565161169
Montana,2026,23694,94.36566219296024,9.06982780450747
Nebraska,2020,169848,84.34482596203664,11.960073124205172
Nebraska,2021,32102,88.13781072830353,10.832845305588437
Nebraska,2022,19523,86.29309020130103,11.58881831685704
Nebraska,2023,24138,88.72317507664263,10.728208633689619
Nebraska,2024,27031,95.26469608967481,9.57657874292479
Nebraska,2025,28483,97.00874205666537,8.810395674612927
Nebraska,2026,19622,94.26154316583427,9.33416573234125
Nevada,2020,926037,87.82035706996588,11.79164007485662
Nevada,2021,240779,94.9480644076103,9.503299706369742
Nevada,2022,76506,92.89075366637911,9.698350456173372
Nevada,2023,119439,86.97159219350463,11.982493155501972
Nevada,2024,132233,84.2694334999584,12.093766306443928
Nevada,2025,135227,79.35989114599894,13.428290947813677
Nevada,2026,93130,80.95028454848062,12.863787179211855
New Hampshire,2020,252598,84.2116723014434,12.116895224823633
New Hampshire,2021,34284,81.19239295298098,13.646788589429471
New Hampshire,2022,11357,86.91555868627279,11.257902615127234
New Hampshire,2023,12143,91.27892613028082,10.385983694309479
New Hampshire,2024,13310,90.40570999248685,10.676934635612321
New Hampshire,2025,13726,88.05187235902666,11.011474573801545
New Hampshire,2026,8581,87.00617643631278,11.16542361030183
New Jersey,2020,1563107,84.65620075912909,12.064102457477318
New Jersey,2021,427908,87.44753545154566,11.200808351327856
New Jersey,2022,346665,78.26229933797758,14.147338208356771
New Jersey,2023,461151,80.8119249443241,12.817394953063097
New Jersey,2024,495400,81.5865966895438,12.776421073879693
New Jersey,2025,497453,83.62096519671205,12.311873684549093
New Jersey,2026,350390,82.94357715688233,12.792103085133709
New Mexico,2020,186666,86.4045943021225,11.776785809949322
New Mexico,2021,75398,87.2291042202711,11.77144619220669
New Mexico,2022,37506,85.61830107182851,12.018796992481203
New Mexico,2023,41456,87.98002701659591,11.549679177923581
New Mexico,2024,45701,88.12498632415046,11.451445263779785
New Mexico,2025,45575,87.38123971475589,11.157816785518376
New Mexico,2026,29973,92.03950221866346,9.886497848063257
New York,2020,4137005,84.7748552394788,13.476166453750963
New York,2021,1459386,92.73153230194067,10.036122382974758
New York,2022,504886,88.25239757093681,11.063045915315536
New York,2023,620986,88.06430418721195,11.162359537896185
New York,2024,625036,89.85802417780737,10.671664512124101
New York,2025,644031,86.79815102068068,11.593740829245798
New York,2026,409176,89.17702895575498,10.693619616008759
North Carolina,2020,1386127,81.83809997208049,12.978870262248698
North Carolina,2021,189555,87.49967028039354,11.068956239613833
North Carolina,2022,93214,86.24991953998327,11.477986139421118
North Carolina,2023,115416,80.42992306092744,13.23522301933874
North Carolina,2024,154793,86.56011576750888,12.188270787438709
North Carolina,2025,129332,91.10583614264065,9.83001500015464
North Carolina,2026,63399,93.40368144607959,9.968090979352986
North Dakota,2020,128507,95.28741624969847,8.922152100663777
North Dakota,2021,26309,94.3973545174655,8.790318902276788
North Dakota,2022,14813,98.9941267805306,7.608789576723148
North Dakota,2023,13930,99.23905240488156,7.58862167982771
North Dakota,2024,21195,99.31115829205001,7.541731540457655
North Dakota,2025,20865,99.42487419122934,7.516486939851426
North Dakota,2026,11618,99.43191599242554,7.543854363918058
Ohio,2020,1723900,78.40060328325309,13.051562445617495
Ohio,2021,324407,71.34802886497516,15.467116924110762
Ohio,2022,196352,87.30188640808343,11.468087923728813
Ohio,2023,222045,80.72237609493571,13.162473822873741
Ohio,2024,226758,84.94606584993693,11.919224459556002
Ohio,2025,234408,89.07545817548889,10.833783403296815
Ohio,2026,148114,89.76194012719932,10.694701378667784
Oklahoma,2020,540326,92.62167654342008,9.68159685079008
Oklahoma,2021,197307,90.83560137248044,10.178113295524234
Oklahoma,2022,55212,93.30399188582193,9.374094399768166
Oklahoma,2023,43764,93.32784937391463,9.631283703500594
Oklahoma,2024,45947,93.63832241495636,9.646930158661066
Oklahoma,2025,58664,94.39690440474567,9.308579367243965
Oklahoma,2026,37868,92.79074680468997,9.565477447977184
Oregon,2020,757986,87.57523226022644,11.157695524719454
Oregon,2021,238744,86.42311429816037,11.217040009382435
Oregon,2022,122074,95.12344971083112,9.00949014532169
Oregon,2023,163748,92.35410508830643,10.4027896523927
Oregon,2024,167081,87.28999706729071,11.5686283898229
Oregon,2025,188954,85.56421139536606,11.066934280301025
Oregon,2026,131575,81.83393501805054,12.557849135474065
Pennsylvania,2020,2320473,83.47767890425789,13.180961597053704
Pennsylvania,2021,587299,85.26031884951277,12.555953611363206
Pennsylvania,2022,328969,84.07600716176904,12.353490754447987
Pennsylvania,2023,474261,85.3667073615583,12.330050330935919
Pennsylvania,2024,536613,86.14849062546006,11.475041603539236
Pennsylvania,2025,543192,90.03151740084537,10.229046083152918
Pennsylvania,2026,364173,92.3421011442364,9.647103162507928
Rhode Island,2020,284312,94.89398970145474,8.797384563437351
Rhode Island,2021,158509,96.54404481764442,8.315442656252957
Rhode Island,2022,46928,94.35518240709172,9.124744289123765
Rhode Island,2023,54116,94.75201419173627,9.11484588661394
Rhode Island,2024,58864,95.80728458820332,8.880521201413428
Rhode Island,2025,59671,92.51730321261584,9.81074558830923
Rhode Island,2026,37845,90.63284449729159,10.517598097502972
South Carolina,2020,692168,89.1143479617665,11.104499919094787
South Carolina,2021,95708,79.0696702470013,14.22251535921762
South Carolina,2022,66438,92.41096962581655,9.729048135103405
South Carolina,2023,82102,95.4702686901659,8.786430294024505
South Carolina,2024,80050,96.22236102435977,8.642048719550282
South Carolina,2025,84104,95.94311804432607,8.937137353752497
South Carolina,2026,56841,96.15242518604529,8.708704984078395
South Dakota,2020,72742,91.75991861648016,10.100705232190482
South Dakota,2021,10637,92.11243771740152,10.546018614270942
South Dakota,2022,7940,96.77581863979849,8.885264483627203
South Dakota,2023,8597,96.6150982901012,9.047807374665581
South Dakota,2024,9472,97.08614864864865,8.866765202702704
South Dakota,2025,9943,96.57045157397164,9.10766368299306
South Dakota,2026,6471,96.78565909442126,8.9162416937104
Tennessee,2020,990641,88.15060147924424,11.015944221973449
Tennessee,2021,164382,86.09884293900792,11.647275857453979
Tennessee,2022,65851,82.30398930919803,12.319448451807869
Tennessee,2023,90088,84.93362045999467,12.298291670366753
Tennessee,2024,112592,90.88567571408271,10.3436256572403
Tennessee,2025,128820,96.57351342959167,8.768471510634994
Tennessee,2026,84874,95.58639866154535,9.25664514456724
Texas,2020,3819081,87.9218063193737,11.729944586145201
Texas,2021,780309,84.17729386691683,12.551455256827744
Texas,2022,533565,87.4094065390346,11.657215147170447
Texas,2023,663026,86.63838220522273,11.87512782304163
Texas,2024,690570,85.72889062658383,11.98092879794952
Texas,2025,747683,88.63114448235414,11.298042753412878
Texas,2026,349169,87.35827063685493,11.387326767267426
Utah,2020,270967,91.06643982477571,10.10337790210616
Utah,2021,59036,83.79802154617522,12.529524358018836
Utah,2022,43638,94.38333562491407,9.097277602089921
Utah,2023,59172,94.4788075441087,9.12351281011289
Utah,2024,63665,93.12180947145214,9.460386397549675
Utah,2025,72394,94.2992513191701,9.13932784484902
Utah,2026,45177,94.9509706266463,8.997542997542997
Vermont,2020,154540,79.86928950433546,12.541193218584185
Vermont,2021,35063,81.75854889769842,13.19138408008442
Vermont,2022,19023,83.64085580612942,12.543342269883825
Vermont,2023,20420,82.68364348677767,13.843878550440744
Vermont,2024,19024,82.20142977291842,14.24266715727502
Vermont,2025,21066,82.1323459603152,13.940947498338556
Vermont,2026,12783,83.17296409293593,12.502033951341625
Virginia,2020,1193578,94.7896157603441,9.204759554884557
Virginia,2021,227635,91.96960045687175,10.183007885430623
Virginia,2022,69320,84.21667628390075,12.176543566070398
Virginia,2023,100429,81.06523016260243,12.90498262454072
Virginia,2024,107858,94.03011366797085,9.568548461866529
Virginia,2025,120774,93.72381472833557,9.583478232069817
Virginia,2026,77963,92.98513397380809,10.058373844002924
Washington,2020,1092058,90.0605096066326,10.649554785551683
Washington,2021,234808,88.31300466764334,11.55336700623488
Washington,2022,204553,86.74866660474304,11.516707161469155
Washington,2023,273266,80.14388910438913,14.213895984132677
Washington,2024,301111,83.86907153840278,12.327661560022715
Washington,2025,319619,87.4619468805046,11.815153354462657
Washington,2026,212244,86.74544392303198,12.763180584610165
West Virginia,2020,250906,88.31116035487395,11.148011605940074
West Virginia,2021,56003,89.65234005321143,10.408335267753513
West Virginia,2022,40932,91.26111599726376,10.01321704290042
West Virginia,2023,42327,93.2974224490278,9.610260590167034
West Virginia,2024,45986,92.93480624537904,9.68438220327926
West Virginia,2025,40655,91.70827696470299,9.941286434632886
West Virginia,2026,29887,91.12992270887008,10.026081573928463
Wisconsin,2020,743297,88.88869455950986,10.909712402982926
Wisconsin,2021,148853,90.77277582581473,10.07336432587855
Wisconsin,2022,157803,93.66488596541257,9.441344587872221
Wisconsin,2023,167902,93.3496920822861,9.528966301771272
Wisconsin,2024,183933,93.54710682694241,9.47902497104924
Wisconsin,2025,162098,93.93515034115165,9.379887475477798
Wisconsin,2026,94607,94.18013466234,9.288821123172704
Wyoming,2020,56555,92.70798337901158,9.568605781982141
Wyoming,2021,17631,94.83863649254155,9.010407804435369
Wyoming,2022,13132,96.22296679865975,8.663684130368566
Wyoming,2023,13308,92.17763751127141,9.602607454162909
Wyoming,2024,14411,90.93053917146624,9.943966414544445
Wyoming,2025,14858,90.05922735226814,10.094696459819625
Wyoming,2026,8353,86.59164372081887,11.84101520411828
