state,year,month,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Tennessee,2020,2,8540,91.92037470725995,10.139168618266979
Tennessee,2020,3,47216,98.81607929515418,7.901103439512029
Tennessee,2020,4,471569,96.51652250253939,8.473017734414263
Tennessee,2020,5,205963,80.93492520501255,12.839405621398019
Tennessee,2020,6,70656,84.97367527173914,13.461906985960145
Tennessee,2020,7,26060,64.77359938603223,17.52413660782809
Tennessee,2020,8,91953,63.06917664459017,17.980087653475145
Tennessee,2020,9,20890,89.61704164672092,11.482312111057922
Tennessee,2020,10,12101,90.33137757210147,10.729154615321049
Tennessee,2020,11,8289,89.72131740861383,10.784775003016046
Tennessee,2020,12,13722,87.16659379099256,11.980797259874654
Tennessee,2021,1,20688,88.95494972931168,10.947554137664346
Tennessee,2021,2,19848,82.71866182990729,12.947626964933495
Tennessee,2021,3,18452,81.67136353782787,14.125487752005203
Tennessee,2021,4,27182,92.38466632330218,9.849716724302848
Tennessee,2021,5,20170,85.10163609320773,11.511675756073377
Tennessee,2021,6,20678,86.00444917303415,11.941145178450528
Tennessee,2021,7,11594,84.28497498706228,12.458685526996723
Tennessee,2021,8,9843,85.86812963527379,11.1831250634969
Tennessee,2021,9,5457,85.3032801905809,10.697452812900861
Tennessee,2021,10,3044,80.28909329829173,11.909658344283837
Tennessee,2021,11,3347,80.57962354347177,12.020764864057364
Tennessee,2021,12,4079,87.25177739642069,8.399852905123804
Tennessee,2022,1,6065,89.57955482275351,9.993569661995053
Tennessee,2022,2,4354,77.56086357372531,13.520211299954065
Tennessee,2022,3,4526,79.76137870083959,13.178524083075564
Tennessee,2022,4,3359,84.13218219708246,11.575320035724918
Tennessee,2022,5,4530,85.45253863134657,11.017328918322296
Tennessee,2022,6,5975,87.2133891213389,10.902259414225941
Tennessee,2022,7,7094,79.84212010149422,13.222371017761489
Tennessee,2022,8,7594,81.38003687121412,12.852646826441928
Tennessee,2022,9,4963,80.09268587547854,13.091376183759822
Tennessee,2022,10,4454,81.99371351594073,12.783228558599012
Tennessee,2022,11,4003,78.34124406694978,13.46252810392206
Tennessee,2022,12,8934,81.2961719274681,12.423438549361988
Tennessee,2023,1,10301,90.02038637025531,10.393262790020387
Tennessee,2023,2,6032,80.81896551724138,12.870523872679046
Tennessee,2023,3,6151,79.66184360266624,13.689400097545114
Tennessee,2023,4,5926,78.24839689503881,14.246203172460344
Tennessee,2023,5,7806,86.3822700486805,11.686587240584165
Tennessee,2023,6,8011,87.65447509674198,11.02964673573836
Tennessee,2023,7,7933,86.44901046262447,11.565485944787596
Tennessee,2023,8,8418,82.69185079591352,13.340460917082442
Tennessee,2023,9,6084,85.71663379355687,12.572978303747535
Tennessee,2023,10,7708,86.22210690192009,12.4793072132849
Tennessee,2023,11,6125,83.21632653061225,13.72408163265306
Tennessee,2023,12,9593,86.39633065777129,11.90748462420515
Tennessee,2024,1,13387,87.2264136849182,11.409763203107492
Tennessee,2024,2,6029,82.43489799303367,12.886299552164537
